Entity,Code,Date,Total confirmed deaths (deaths),Days since the 5th total confirmed death
Afghanistan,AFG,"Feb 20, 2020",0,
Afghanistan,AFG,"Feb 21, 2020",0,
Afghanistan,AFG,"Feb 22, 2020",0,
Afghanistan,AFG,"Feb 23, 2020",0,
Afghanistan,AFG,"Feb 24, 2020",0,
Afghanistan,AFG,"Feb 25, 2020",0,
Afghanistan,AFG,"Feb 26, 2020",0,
Afghanistan,AFG,"Feb 27, 2020",0,
Afghanistan,AFG,"Feb 28, 2020",0,
Afghanistan,AFG,"Feb 29, 2020",0,
Afghanistan,AFG,"Mar 1, 2020",0,
Afghanistan,AFG,"Mar 2, 2020",0,
Afghanistan,AFG,"Mar 8, 2020",0,
Afghanistan,AFG,"Mar 11, 2020",0,
Afghanistan,AFG,"Mar 15, 2020",0,
Afghanistan,AFG,"Mar 16, 2020",0,
Afghanistan,AFG,"Mar 17, 2020",0,
Afghanistan,AFG,"Mar 18, 2020",0,
Afghanistan,AFG,"Mar 19, 2020",0,
Afghanistan,AFG,"Mar 20, 2020",0,
Afghanistan,AFG,"Mar 21, 2020",0,
Afghanistan,AFG,"Mar 22, 2020",0,
Afghanistan,AFG,"Mar 23, 2020",0,
Afghanistan,AFG,"Mar 24, 2020",1,
Afghanistan,AFG,"Mar 25, 2020",1,
Afghanistan,AFG,"Mar 26, 2020",1,
Afghanistan,AFG,"Mar 27, 2020",1,
Afghanistan,AFG,"Mar 28, 2020",2,
Afghanistan,AFG,"Mar 29, 2020",3,
Afghanistan,AFG,"Mar 30, 2020",4,
Afghanistan,AFG,"Mar 31, 2020",4,
Afghanistan,AFG,"Apr 1, 2020",4,
Afghanistan,AFG,"Apr 2, 2020",4,
Afghanistan,AFG,"Apr 3, 2020",4,
Afghanistan,AFG,"Apr 4, 2020",4,
Afghanistan,AFG,"Apr 5, 2020",5,0
Afghanistan,AFG,"Apr 6, 2020",7,1
Afghanistan,AFG,"Apr 7, 2020",7,2
Afghanistan,AFG,"Apr 8, 2020",11,3
Afghanistan,AFG,"Apr 9, 2020",14,4
Afghanistan,AFG,"Apr 10, 2020",15,5
Afghanistan,AFG,"Apr 11, 2020",15,6
Afghanistan,AFG,"Apr 12, 2020",18,7
Afghanistan,AFG,"Apr 13, 2020",18,8
Afghanistan,AFG,"Apr 14, 2020",21,9
Africa,,"Dec 31, 2019",0,
Africa,,"Jan 1, 2020",0,
Africa,,"Jan 2, 2020",0,
Africa,,"Jan 3, 2020",0,
Africa,,"Jan 4, 2020",0,
Africa,,"Jan 5, 2020",0,
Africa,,"Jan 6, 2020",0,
Africa,,"Jan 7, 2020",0,
Africa,,"Jan 8, 2020",0,
Africa,,"Jan 9, 2020",0,
Africa,,"Jan 10, 2020",0,
Africa,,"Jan 11, 2020",0,
Africa,,"Jan 12, 2020",0,
Africa,,"Jan 13, 2020",0,
Africa,,"Jan 14, 2020",0,
Africa,,"Jan 15, 2020",0,
Africa,,"Jan 16, 2020",0,
Africa,,"Jan 17, 2020",0,
Africa,,"Jan 18, 2020",0,
Africa,,"Jan 19, 2020",0,
Africa,,"Jan 20, 2020",0,
Africa,,"Jan 21, 2020",0,
Africa,,"Jan 22, 2020",0,
Africa,,"Jan 23, 2020",0,
Africa,,"Jan 24, 2020",0,
Africa,,"Jan 25, 2020",0,
Africa,,"Jan 26, 2020",0,
Africa,,"Jan 27, 2020",0,
Africa,,"Jan 28, 2020",0,
Africa,,"Jan 29, 2020",0,
Africa,,"Jan 30, 2020",0,
Africa,,"Jan 31, 2020",0,
Africa,,"Feb 1, 2020",0,
Africa,,"Feb 2, 2020",0,
Africa,,"Feb 3, 2020",0,
Africa,,"Feb 4, 2020",0,
Africa,,"Feb 5, 2020",0,
Africa,,"Feb 6, 2020",0,
Africa,,"Feb 7, 2020",0,
Africa,,"Feb 8, 2020",0,
Africa,,"Feb 9, 2020",0,
Africa,,"Feb 10, 2020",0,
Africa,,"Feb 11, 2020",0,
Africa,,"Feb 12, 2020",0,
Africa,,"Feb 13, 2020",0,
Africa,,"Feb 14, 2020",0,
Africa,,"Feb 15, 2020",0,
Africa,,"Feb 16, 2020",0,
Africa,,"Feb 17, 2020",0,
Africa,,"Feb 18, 2020",0,
Africa,,"Feb 19, 2020",0,
Africa,,"Feb 20, 2020",0,
Africa,,"Feb 21, 2020",0,
Africa,,"Feb 22, 2020",0,
Africa,,"Feb 23, 2020",0,
Africa,,"Feb 24, 2020",0,
Africa,,"Feb 25, 2020",0,
Africa,,"Feb 26, 2020",0,
Africa,,"Feb 27, 2020",0,
Africa,,"Feb 28, 2020",0,
Africa,,"Feb 29, 2020",0,
Africa,,"Mar 1, 2020",0,
Africa,,"Mar 2, 2020",0,
Africa,,"Mar 3, 2020",0,
Africa,,"Mar 4, 2020",0,
Africa,,"Mar 5, 2020",0,
Africa,,"Mar 6, 2020",0,
Africa,,"Mar 7, 2020",0,
Africa,,"Mar 8, 2020",0,
Africa,,"Mar 9, 2020",1,
Africa,,"Mar 10, 2020",1,
Africa,,"Mar 11, 2020",1,
Africa,,"Mar 12, 2020",2,
Africa,,"Mar 13, 2020",4,
Africa,,"Mar 14, 2020",5,0
Africa,,"Mar 15, 2020",6,1
Africa,,"Mar 16, 2020",8,2
Africa,,"Mar 17, 2020",8,3
Africa,,"Mar 18, 2020",12,4
Africa,,"Mar 19, 2020",16,5
Africa,,"Mar 20, 2020",17,6
Africa,,"Mar 21, 2020",24,7
Africa,,"Mar 22, 2020",30,8
Africa,,"Mar 23, 2020",42,9
Africa,,"Mar 24, 2020",52,10
Africa,,"Mar 25, 2020",62,11
Africa,,"Mar 26, 2020",68,12
Africa,,"Mar 27, 2020",80,13
Africa,,"Mar 28, 2020",98,14
Africa,,"Mar 29, 2020",121,15
Africa,,"Mar 30, 2020",141,16
Africa,,"Mar 31, 2020",162,17
Africa,,"Apr 1, 2020",180,18
Africa,,"Apr 2, 2020",224,19
Africa,,"Apr 3, 2020",251,20
Africa,,"Apr 4, 2020",283,21
Africa,,"Apr 5, 2020",379,22
Africa,,"Apr 6, 2020",434,23
Africa,,"Apr 7, 2020",477,24
Africa,,"Apr 8, 2020",523,25
Africa,,"Apr 9, 2020",573,26
Africa,,"Apr 10, 2020",630,27
Africa,,"Apr 11, 2020",691,28
Africa,,"Apr 12, 2020",743,29
Africa,,"Apr 13, 2020",789,30
Africa,,"Apr 14, 2020",835,31
Albania,ALB,"Mar 9, 2020",0,
Albania,ALB,"Mar 10, 2020",0,
Albania,ALB,"Mar 11, 2020",0,
Albania,ALB,"Mar 12, 2020",1,
Albania,ALB,"Mar 13, 2020",1,
Albania,ALB,"Mar 14, 2020",1,
Albania,ALB,"Mar 15, 2020",1,
Albania,ALB,"Mar 16, 2020",1,
Albania,ALB,"Mar 17, 2020",1,
Albania,ALB,"Mar 18, 2020",1,
Albania,ALB,"Mar 19, 2020",2,
Albania,ALB,"Mar 20, 2020",2,
Albania,ALB,"Mar 21, 2020",2,
Albania,ALB,"Mar 22, 2020",2,
Albania,ALB,"Mar 23, 2020",2,
Albania,ALB,"Mar 24, 2020",4,
Albania,ALB,"Mar 25, 2020",5,0
Albania,ALB,"Mar 26, 2020",5,1
Albania,ALB,"Mar 27, 2020",6,2
Albania,ALB,"Mar 28, 2020",9,3
Albania,ALB,"Mar 29, 2020",10,4
Albania,ALB,"Mar 30, 2020",10,5
Albania,ALB,"Mar 31, 2020",12,6
Albania,ALB,"Apr 1, 2020",15,7
Albania,ALB,"Apr 2, 2020",15,8
Albania,ALB,"Apr 3, 2020",16,9
Albania,ALB,"Apr 4, 2020",17,10
Albania,ALB,"Apr 5, 2020",19,11
Albania,ALB,"Apr 6, 2020",21,12
Albania,ALB,"Apr 7, 2020",22,13
Albania,ALB,"Apr 8, 2020",22,14
Albania,ALB,"Apr 9, 2020",22,15
Albania,ALB,"Apr 10, 2020",23,16
Albania,ALB,"Apr 11, 2020",23,17
Albania,ALB,"Apr 12, 2020",23,18
Albania,ALB,"Apr 13, 2020",23,19
Albania,ALB,"Apr 14, 2020",23,20
Algeria,DZA,"Dec 31, 2019",0,
Algeria,DZA,"Jan 1, 2020",0,
Algeria,DZA,"Jan 2, 2020",0,
Algeria,DZA,"Jan 3, 2020",0,
Algeria,DZA,"Jan 4, 2020",0,
Algeria,DZA,"Jan 5, 2020",0,
Algeria,DZA,"Jan 6, 2020",0,
Algeria,DZA,"Jan 7, 2020",0,
Algeria,DZA,"Jan 8, 2020",0,
Algeria,DZA,"Jan 9, 2020",0,
Algeria,DZA,"Jan 10, 2020",0,
Algeria,DZA,"Jan 11, 2020",0,
Algeria,DZA,"Jan 12, 2020",0,
Algeria,DZA,"Jan 13, 2020",0,
Algeria,DZA,"Jan 14, 2020",0,
Algeria,DZA,"Jan 15, 2020",0,
Algeria,DZA,"Jan 16, 2020",0,
Algeria,DZA,"Jan 17, 2020",0,
Algeria,DZA,"Jan 18, 2020",0,
Algeria,DZA,"Jan 19, 2020",0,
Algeria,DZA,"Jan 20, 2020",0,
Algeria,DZA,"Jan 21, 2020",0,
Algeria,DZA,"Jan 22, 2020",0,
Algeria,DZA,"Jan 23, 2020",0,
Algeria,DZA,"Jan 24, 2020",0,
Algeria,DZA,"Jan 25, 2020",0,
Algeria,DZA,"Jan 26, 2020",0,
Algeria,DZA,"Jan 27, 2020",0,
Algeria,DZA,"Jan 28, 2020",0,
Algeria,DZA,"Jan 29, 2020",0,
Algeria,DZA,"Jan 30, 2020",0,
Algeria,DZA,"Jan 31, 2020",0,
Algeria,DZA,"Feb 1, 2020",0,
Algeria,DZA,"Feb 2, 2020",0,
Algeria,DZA,"Feb 3, 2020",0,
Algeria,DZA,"Feb 4, 2020",0,
Algeria,DZA,"Feb 5, 2020",0,
Algeria,DZA,"Feb 6, 2020",0,
Algeria,DZA,"Feb 7, 2020",0,
Algeria,DZA,"Feb 8, 2020",0,
Algeria,DZA,"Feb 9, 2020",0,
Algeria,DZA,"Feb 10, 2020",0,
Algeria,DZA,"Feb 11, 2020",0,
Algeria,DZA,"Feb 12, 2020",0,
Algeria,DZA,"Feb 13, 2020",0,
Algeria,DZA,"Feb 14, 2020",0,
Algeria,DZA,"Feb 15, 2020",0,
Algeria,DZA,"Feb 16, 2020",0,
Algeria,DZA,"Feb 17, 2020",0,
Algeria,DZA,"Feb 18, 2020",0,
Algeria,DZA,"Feb 19, 2020",0,
Algeria,DZA,"Feb 20, 2020",0,
Algeria,DZA,"Feb 21, 2020",0,
Algeria,DZA,"Feb 22, 2020",0,
Algeria,DZA,"Feb 23, 2020",0,
Algeria,DZA,"Feb 24, 2020",0,
Algeria,DZA,"Feb 25, 2020",0,
Algeria,DZA,"Feb 26, 2020",0,
Algeria,DZA,"Feb 27, 2020",0,
Algeria,DZA,"Feb 28, 2020",0,
Algeria,DZA,"Feb 29, 2020",0,
Algeria,DZA,"Mar 1, 2020",0,
Algeria,DZA,"Mar 2, 2020",0,
Algeria,DZA,"Mar 4, 2020",0,
Algeria,DZA,"Mar 5, 2020",0,
Algeria,DZA,"Mar 6, 2020",0,
Algeria,DZA,"Mar 9, 2020",0,
Algeria,DZA,"Mar 12, 2020",0,
Algeria,DZA,"Mar 13, 2020",1,
Algeria,DZA,"Mar 14, 2020",2,
Algeria,DZA,"Mar 15, 2020",2,
Algeria,DZA,"Mar 16, 2020",4,
Algeria,DZA,"Mar 17, 2020",4,
Algeria,DZA,"Mar 18, 2020",5,0
Algeria,DZA,"Mar 19, 2020",6,1
Algeria,DZA,"Mar 20, 2020",7,2
Algeria,DZA,"Mar 21, 2020",10,3
Algeria,DZA,"Mar 22, 2020",10,4
Algeria,DZA,"Mar 23, 2020",15,5
Algeria,DZA,"Mar 24, 2020",17,6
Algeria,DZA,"Mar 25, 2020",17,7
Algeria,DZA,"Mar 26, 2020",17,8
Algeria,DZA,"Mar 27, 2020",21,9
Algeria,DZA,"Mar 28, 2020",21,10
Algeria,DZA,"Mar 29, 2020",26,11
Algeria,DZA,"Mar 30, 2020",29,12
Algeria,DZA,"Mar 31, 2020",31,13
Algeria,DZA,"Apr 1, 2020",35,14
Algeria,DZA,"Apr 2, 2020",58,15
Algeria,DZA,"Apr 3, 2020",58,16
Algeria,DZA,"Apr 4, 2020",83,17
Algeria,DZA,"Apr 5, 2020",130,18
Algeria,DZA,"Apr 6, 2020",152,19
Algeria,DZA,"Apr 7, 2020",173,20
Algeria,DZA,"Apr 8, 2020",194,21
Algeria,DZA,"Apr 9, 2020",205,22
Algeria,DZA,"Apr 10, 2020",235,23
Algeria,DZA,"Apr 11, 2020",256,24
Algeria,DZA,"Apr 12, 2020",275,25
Algeria,DZA,"Apr 13, 2020",293,26
Algeria,DZA,"Apr 14, 2020",313,27
Andorra,AND,"Mar 3, 2020",0,
Andorra,AND,"Mar 14, 2020",0,
Andorra,AND,"Mar 16, 2020",0,
Andorra,AND,"Mar 17, 2020",0,
Andorra,AND,"Mar 18, 2020",0,
Andorra,AND,"Mar 19, 2020",0,
Andorra,AND,"Mar 20, 2020",0,
Andorra,AND,"Mar 21, 2020",0,
Andorra,AND,"Mar 22, 2020",0,
Andorra,AND,"Mar 23, 2020",0,
Andorra,AND,"Mar 24, 2020",0,
Andorra,AND,"Mar 25, 2020",0,
Andorra,AND,"Mar 26, 2020",0,
Andorra,AND,"Mar 27, 2020",3,
Andorra,AND,"Mar 28, 2020",3,
Andorra,AND,"Mar 29, 2020",4,
Andorra,AND,"Mar 30, 2020",6,0
Andorra,AND,"Mar 31, 2020",8,1
Andorra,AND,"Apr 1, 2020",12,2
Andorra,AND,"Apr 2, 2020",14,3
Andorra,AND,"Apr 3, 2020",15,4
Andorra,AND,"Apr 4, 2020",16,5
Andorra,AND,"Apr 5, 2020",17,6
Andorra,AND,"Apr 6, 2020",18,7
Andorra,AND,"Apr 7, 2020",21,8
Andorra,AND,"Apr 8, 2020",22,9
Andorra,AND,"Apr 9, 2020",23,10
Andorra,AND,"Apr 10, 2020",25,11
Andorra,AND,"Apr 11, 2020",26,12
Andorra,AND,"Apr 12, 2020",28,13
Andorra,AND,"Apr 13, 2020",29,14
Andorra,AND,"Apr 14, 2020",29,15
Angola,AGO,"Mar 22, 2020",0,
Angola,AGO,"Mar 23, 2020",0,
Angola,AGO,"Mar 24, 2020",0,
Angola,AGO,"Mar 25, 2020",0,
Angola,AGO,"Mar 26, 2020",0,
Angola,AGO,"Mar 27, 2020",0,
Angola,AGO,"Mar 28, 2020",0,
Angola,AGO,"Mar 29, 2020",0,
Angola,AGO,"Mar 30, 2020",2,
Angola,AGO,"Mar 31, 2020",2,
Angola,AGO,"Apr 1, 2020",2,
Angola,AGO,"Apr 2, 2020",2,
Angola,AGO,"Apr 3, 2020",2,
Angola,AGO,"Apr 4, 2020",2,
Angola,AGO,"Apr 5, 2020",2,
Angola,AGO,"Apr 6, 2020",2,
Angola,AGO,"Apr 7, 2020",2,
Angola,AGO,"Apr 8, 2020",2,
Angola,AGO,"Apr 9, 2020",2,
Angola,AGO,"Apr 10, 2020",2,
Angola,AGO,"Apr 11, 2020",2,
Angola,AGO,"Apr 12, 2020",2,
Angola,AGO,"Apr 13, 2020",2,
Angola,AGO,"Apr 14, 2020",2,
Anguilla,AIA,"Mar 27, 2020",0,
Anguilla,AIA,"Mar 28, 2020",0,
Anguilla,AIA,"Mar 29, 2020",0,
Anguilla,AIA,"Mar 30, 2020",0,
Anguilla,AIA,"Mar 31, 2020",0,
Anguilla,AIA,"Apr 1, 2020",0,
Anguilla,AIA,"Apr 2, 2020",0,
Anguilla,AIA,"Apr 3, 2020",0,
Anguilla,AIA,"Apr 4, 2020",0,
Anguilla,AIA,"Apr 5, 2020",0,
Anguilla,AIA,"Apr 6, 2020",0,
Anguilla,AIA,"Apr 7, 2020",0,
Anguilla,AIA,"Apr 8, 2020",0,
Anguilla,AIA,"Apr 9, 2020",0,
Anguilla,AIA,"Apr 10, 2020",0,
Anguilla,AIA,"Apr 11, 2020",0,
Anguilla,AIA,"Apr 12, 2020",0,
Anguilla,AIA,"Apr 13, 2020",0,
Anguilla,AIA,"Apr 14, 2020",0,
Antigua and Barbuda,ATG,"Mar 15, 2020",0,
Antigua and Barbuda,ATG,"Mar 21, 2020",0,
Antigua and Barbuda,ATG,"Mar 22, 2020",0,
Antigua and Barbuda,ATG,"Mar 23, 2020",0,
Antigua and Barbuda,ATG,"Mar 24, 2020",0,
Antigua and Barbuda,ATG,"Mar 25, 2020",0,
Antigua and Barbuda,ATG,"Mar 26, 2020",0,
Antigua and Barbuda,ATG,"Mar 27, 2020",0,
Antigua and Barbuda,ATG,"Mar 28, 2020",0,
Antigua and Barbuda,ATG,"Mar 29, 2020",0,
Antigua and Barbuda,ATG,"Mar 30, 2020",0,
Antigua and Barbuda,ATG,"Mar 31, 2020",0,
Antigua and Barbuda,ATG,"Apr 1, 2020",0,
Antigua and Barbuda,ATG,"Apr 2, 2020",0,
Antigua and Barbuda,ATG,"Apr 3, 2020",0,
Antigua and Barbuda,ATG,"Apr 4, 2020",0,
Antigua and Barbuda,ATG,"Apr 5, 2020",0,
Antigua and Barbuda,ATG,"Apr 6, 2020",0,
Antigua and Barbuda,ATG,"Apr 7, 2020",0,
Antigua and Barbuda,ATG,"Apr 8, 2020",0,
Antigua and Barbuda,ATG,"Apr 9, 2020",0,
Antigua and Barbuda,ATG,"Apr 10, 2020",2,
Antigua and Barbuda,ATG,"Apr 11, 2020",2,
Antigua and Barbuda,ATG,"Apr 12, 2020",2,
Antigua and Barbuda,ATG,"Apr 13, 2020",2,
Antigua and Barbuda,ATG,"Apr 14, 2020",2,
Argentina,ARG,"Mar 4, 2020",0,
Argentina,ARG,"Mar 6, 2020",0,
Argentina,ARG,"Mar 7, 2020",0,
Argentina,ARG,"Mar 8, 2020",1,
Argentina,ARG,"Mar 9, 2020",1,
Argentina,ARG,"Mar 11, 2020",1,
Argentina,ARG,"Mar 13, 2020",1,
Argentina,ARG,"Mar 14, 2020",2,
Argentina,ARG,"Mar 15, 2020",2,
Argentina,ARG,"Mar 16, 2020",2,
Argentina,ARG,"Mar 17, 2020",2,
Argentina,ARG,"Mar 18, 2020",2,
Argentina,ARG,"Mar 19, 2020",2,
Argentina,ARG,"Mar 20, 2020",3,
Argentina,ARG,"Mar 21, 2020",3,
Argentina,ARG,"Mar 22, 2020",4,
Argentina,ARG,"Mar 23, 2020",4,
Argentina,ARG,"Mar 24, 2020",4,
Argentina,ARG,"Mar 25, 2020",6,0
Argentina,ARG,"Mar 26, 2020",8,1
Argentina,ARG,"Mar 27, 2020",12,2
Argentina,ARG,"Mar 28, 2020",17,3
Argentina,ARG,"Mar 29, 2020",19,4
Argentina,ARG,"Mar 30, 2020",20,5
Argentina,ARG,"Mar 31, 2020",24,6
Argentina,ARG,"Apr 1, 2020",24,7
Argentina,ARG,"Apr 2, 2020",31,8
Argentina,ARG,"Apr 3, 2020",34,9
Argentina,ARG,"Apr 4, 2020",37,10
Argentina,ARG,"Apr 5, 2020",43,11
Argentina,ARG,"Apr 6, 2020",46,12
Argentina,ARG,"Apr 7, 2020",53,13
Argentina,ARG,"Apr 8, 2020",60,14
Argentina,ARG,"Apr 9, 2020",65,15
Argentina,ARG,"Apr 10, 2020",79,16
Argentina,ARG,"Apr 11, 2020",82,17
Argentina,ARG,"Apr 12, 2020",89,18
Argentina,ARG,"Apr 13, 2020",95,19
Argentina,ARG,"Apr 14, 2020",98,20
Armenia,ARM,"Dec 31, 2019",0,
Armenia,ARM,"Jan 1, 2020",0,
Armenia,ARM,"Jan 2, 2020",0,
Armenia,ARM,"Jan 3, 2020",0,
Armenia,ARM,"Jan 4, 2020",0,
Armenia,ARM,"Jan 5, 2020",0,
Armenia,ARM,"Jan 6, 2020",0,
Armenia,ARM,"Jan 7, 2020",0,
Armenia,ARM,"Jan 8, 2020",0,
Armenia,ARM,"Jan 9, 2020",0,
Armenia,ARM,"Jan 10, 2020",0,
Armenia,ARM,"Jan 11, 2020",0,
Armenia,ARM,"Jan 12, 2020",0,
Armenia,ARM,"Jan 13, 2020",0,
Armenia,ARM,"Jan 14, 2020",0,
Armenia,ARM,"Jan 15, 2020",0,
Armenia,ARM,"Jan 16, 2020",0,
Armenia,ARM,"Jan 17, 2020",0,
Armenia,ARM,"Jan 18, 2020",0,
Armenia,ARM,"Jan 19, 2020",0,
Armenia,ARM,"Jan 20, 2020",0,
Armenia,ARM,"Jan 21, 2020",0,
Armenia,ARM,"Jan 22, 2020",0,
Armenia,ARM,"Jan 23, 2020",0,
Armenia,ARM,"Jan 24, 2020",0,
Armenia,ARM,"Jan 25, 2020",0,
Armenia,ARM,"Jan 26, 2020",0,
Armenia,ARM,"Jan 27, 2020",0,
Armenia,ARM,"Jan 28, 2020",0,
Armenia,ARM,"Jan 29, 2020",0,
Armenia,ARM,"Jan 30, 2020",0,
Armenia,ARM,"Jan 31, 2020",0,
Armenia,ARM,"Feb 1, 2020",0,
Armenia,ARM,"Feb 2, 2020",0,
Armenia,ARM,"Feb 3, 2020",0,
Armenia,ARM,"Feb 4, 2020",0,
Armenia,ARM,"Feb 5, 2020",0,
Armenia,ARM,"Feb 6, 2020",0,
Armenia,ARM,"Feb 7, 2020",0,
Armenia,ARM,"Feb 8, 2020",0,
Armenia,ARM,"Feb 9, 2020",0,
Armenia,ARM,"Feb 10, 2020",0,
Armenia,ARM,"Feb 11, 2020",0,
Armenia,ARM,"Feb 12, 2020",0,
Armenia,ARM,"Feb 13, 2020",0,
Armenia,ARM,"Feb 14, 2020",0,
Armenia,ARM,"Feb 15, 2020",0,
Armenia,ARM,"Feb 16, 2020",0,
Armenia,ARM,"Feb 17, 2020",0,
Armenia,ARM,"Feb 18, 2020",0,
Armenia,ARM,"Feb 19, 2020",0,
Armenia,ARM,"Feb 20, 2020",0,
Armenia,ARM,"Feb 21, 2020",0,
Armenia,ARM,"Feb 22, 2020",0,
Armenia,ARM,"Feb 23, 2020",0,
Armenia,ARM,"Feb 24, 2020",0,
Armenia,ARM,"Feb 25, 2020",0,
Armenia,ARM,"Feb 26, 2020",0,
Armenia,ARM,"Feb 27, 2020",0,
Armenia,ARM,"Feb 28, 2020",0,
Armenia,ARM,"Feb 29, 2020",0,
Armenia,ARM,"Mar 1, 2020",0,
Armenia,ARM,"Mar 2, 2020",0,
Armenia,ARM,"Mar 12, 2020",0,
Armenia,ARM,"Mar 13, 2020",0,
Armenia,ARM,"Mar 14, 2020",0,
Armenia,ARM,"Mar 15, 2020",0,
Armenia,ARM,"Mar 16, 2020",0,
Armenia,ARM,"Mar 17, 2020",0,
Armenia,ARM,"Mar 18, 2020",0,
Armenia,ARM,"Mar 19, 2020",0,
Armenia,ARM,"Mar 20, 2020",0,
Armenia,ARM,"Mar 21, 2020",0,
Armenia,ARM,"Mar 22, 2020",0,
Armenia,ARM,"Mar 23, 2020",0,
Armenia,ARM,"Mar 24, 2020",0,
Armenia,ARM,"Mar 25, 2020",0,
Armenia,ARM,"Mar 26, 2020",0,
Armenia,ARM,"Mar 27, 2020",1,
Armenia,ARM,"Mar 28, 2020",1,
Armenia,ARM,"Mar 29, 2020",3,
Armenia,ARM,"Mar 30, 2020",3,
Armenia,ARM,"Mar 31, 2020",3,
Armenia,ARM,"Apr 1, 2020",3,
Armenia,ARM,"Apr 2, 2020",3,
Armenia,ARM,"Apr 3, 2020",4,
Armenia,ARM,"Apr 4, 2020",7,0
Armenia,ARM,"Apr 5, 2020",7,1
Armenia,ARM,"Apr 6, 2020",7,2
Armenia,ARM,"Apr 7, 2020",8,3
Armenia,ARM,"Apr 8, 2020",8,4
Armenia,ARM,"Apr 9, 2020",9,5
Armenia,ARM,"Apr 10, 2020",10,6
Armenia,ARM,"Apr 11, 2020",11,7
Armenia,ARM,"Apr 12, 2020",13,8
Armenia,ARM,"Apr 13, 2020",13,9
Armenia,ARM,"Apr 14, 2020",14,10
Aruba,ABW,"Mar 13, 2020",0,
Aruba,ABW,"Mar 20, 2020",0,
Aruba,ABW,"Mar 24, 2020",0,
Aruba,ABW,"Mar 25, 2020",0,
Aruba,ABW,"Mar 26, 2020",0,
Aruba,ABW,"Mar 27, 2020",0,
Aruba,ABW,"Mar 28, 2020",0,
Aruba,ABW,"Mar 29, 2020",0,
Aruba,ABW,"Mar 30, 2020",0,
Aruba,ABW,"Apr 1, 2020",0,
Aruba,ABW,"Apr 2, 2020",0,
Aruba,ABW,"Apr 3, 2020",0,
Aruba,ABW,"Apr 4, 2020",0,
Aruba,ABW,"Apr 5, 2020",0,
Aruba,ABW,"Apr 6, 2020",0,
Aruba,ABW,"Apr 7, 2020",0,
Aruba,ABW,"Apr 8, 2020",0,
Aruba,ABW,"Apr 9, 2020",0,
Aruba,ABW,"Apr 10, 2020",0,
Aruba,ABW,"Apr 11, 2020",0,
Aruba,ABW,"Apr 12, 2020",0,
Aruba,ABW,"Apr 13, 2020",0,
Aruba,ABW,"Apr 14, 2020",0,
Asia,,"Dec 31, 2019",0,
Asia,,"Jan 1, 2020",0,
Asia,,"Jan 2, 2020",0,
Asia,,"Jan 3, 2020",0,
Asia,,"Jan 4, 2020",0,
Asia,,"Jan 5, 2020",0,
Asia,,"Jan 6, 2020",0,
